date,composite_return__london_1600,composite_return__new_york_1600,composite_return__utc_0000,coinbase_return__london_1600,coinbase_return__new_york_1600,coinbase_return__utc_0000,bitstamp_return__london_1600,bitstamp_return__new_york_1600,bitstamp_return__utc_0000,venue_return_difference_bps__london_1600,venue_return_difference_bps__new_york_1600,venue_return_difference_bps__utc_0000,interval_hours__london_1600,interval_hours__new_york_1600,interval_hours__utc_0000,utc_vs_london_bps,utc_vs_new_york_bps,london_vs_new_york_bps,cutoff_return_dispersion_bps,subperiod,all_intervals_24h
2020-03-20,0.1191070139,-0.0075958252,0.1429574809,0.1191050088,-0.0067746072,0.1427172845,0.1191090214,-0.0084164459,0.1431979759,0.0401260661,16.4183862388,4.8069143834,24.0000000000,24.0000000000,24.0000000000,238.5046708340,1505.5330612433,1267.0283904093,1505.5330612433,2017-2020,True
2019-10-26,0.1945686154,0.0441074694,0.1658019342,0.1934823809,0.0437970984,0.1664852164,0.1956559412,0.0444179992,0.1651190316,21.7356028542,6.2090078995,13.6618479405,24.0000000000,24.0000000000,24.0000000000,287.6668118185,1216.9446484051,1504.6114602236,1504.6114602236,2017-2020,True
2017-12-26,0.1286832803,0.1396271707,-0.0104493300,0.1158769827,0.1284108248,-0.0035128822,0.1418348424,0.1511482758,-0.0174171680,259.5785977411,227.3745095207,139.0428576920,24.0000000000,24.0000000000,24.0000000000,1391.3261032842,1500.7650065667,109.4389032825,1500.7650065667,2017-2020,True
2024-03-06,-0.0045785232,0.0823554357,-0.0667233571,-0.0040999463,0.0836625786,-0.0666961770,-0.0050567009,0.0810514610,-0.0667505376,9.5675454044,26.1111762370,0.5436056177,24.0000000000,24.0000000000,24.0000000000,621.4483387309,1490.7879276492,869.3395889183,1490.7879276492,2024-2026,True
2020-03-17,0.0439641797,0.0904938267,-0.0578127587,0.0447410754,0.0910312117,-0.0575715341,0.0431871378,0.0899567779,-0.0580540605,15.5393756708,10.7443373383,4.8252639088,24.0000000000,24.0000000000,24.0000000000,1017.7693844280,1483.0658539773,465.2964695493,1483.0658539773,2017-2020,True
2018-12-28,0.0224158737,0.0898957175,-0.0575218277,0.0222756200,0.0910576875,-0.0577419761,0.0225561097,0.0887357925,-0.0573016869,2.8048962221,23.2189498862,4.4028925302,24.0000000000,24.0000000000,24.0000000000,799.3770139939,1474.1754519318,674.7984379379,1474.1754519318,2017-2020,True
2019-05-20,-0.0178814276,-0.0177432973,0.1292805932,-0.0182625133,-0.0182500264,0.1291033267,-0.0175000000,-0.0172357859,0.1294579153,7.6251327327,10.1424051337,3.5458857222,24.0000000000,24.0000000000,24.0000000000,1471.6202072600,1470.2389051483,1.3813021117,1471.6202072600,2017-2020,True
2018-11-29,0.0057020138,-0.0279832490,0.1191596619,0.0035673310,-0.0294580824,0.1192132450,0.0078453821,-0.0265047038,0.1191060220,42.7805107221,29.5337865004,1.0722303900,24.0000000000,24.0000000000,24.0000000000,1134.5764808186,1471.4291086743,336.8526278557,1471.4291086743,2017-2020,True
2021-01-15,-0.1000299381,-0.0942559775,0.0464296340,-0.1009710531,-0.0939486825,0.0463041061,-0.0990881356,-0.0945632129,0.0465551624,18.8291749545,6.1453045463,2.5105631216,24.0000000000,24.0000000000,24.0000000000,1464.5957210247,1406.8561147723,57.7396062524,1464.5957210247,2021-2023,True
2021-01-12,0.0742181758,0.0263536343,-0.0712176126,0.0740961199,0.0266525290,-0.0712304996,0.0743402292,0.0260548528,-0.0712047264,2.4410924828,5.9767619866,0.2577316597,24.0000000000,24.0000000000,24.0000000000,1454.3578846007,975.7124688359,478.6454157649,1454.3578846007,2021-2023,True
