sample,observations,mean,median,p90,p95,p99,maximum
all_complete_dates,3271,378.2714949053,284.0602013496,787.5820703276,997.5572722486,1585.0041563054,3177.5488087718
all_intervals_exactly_24h,3236,379.6734112650,285.7148412276,788.2348384719,999.2570657500,1590.2473202225,3177.5488087718
