comparison,observations,mean,median,p90,p95,p99,maximum,sign_disagreement
UTC 00:00 vs London 16:00,3271,270.4478225363,182.5548060783,617.0533783830,798.7073706605,1384.2010359989,2900.4449434570,0.4041577499
UTC 00:00 vs New York 16:00,3271,324.5575252797,225.3284219422,732.1883596702,948.4858141243,1515.6817441238,3177.5488087718,0.4839498624
London 16:00 vs New York 16:00,3271,161.5376419947,102.3075151981,382.4790681491,509.1038217269,868.2737000972,2145.9172502411,0.2393763375
