convention,observations,mean,median,p90,p95,p99,maximum,return_sign_disagreement
utc_0000,3277,6.9678963431,2.5966761276,13.0238838144,20.2387270372,77.4684858581,438.5482402583,0.0097650290
london_1600,3277,7.4276097147,2.6932478021,11.8740505590,19.0764095711,104.3448275156,865.2988712176,0.0106805005
new_york_1600,3275,7.3351668092,3.2898574512,12.7520679599,21.0257064583,75.4820339408,470.0895570922,0.0106870229
