subperiod,observations,mean,median,p90,p95,p99,maximum,share_ge_25bps,share_ge_50bps,share_ge_100bps,share_ge_250bps,share_ge_500bps,all_24h_share
2017-2020,1227,443.7269311037,322.6244792376,926.1213550127,1224.2023798257,1917.1221229532,3177.5488087718,0.9926650367,0.9633251834,0.8777506112,0.6136919315,0.3235533822,0.9885900570
2021-2023,1093,382.4442525419,297.5154294301,783.2678811984,989.1576629442,1554.7911205941,2711.9536965212,0.9871912168,0.9487648673,0.8499542543,0.5837145471,0.2580054895,0.9890210430
2024-2026,951,289.0237090882,233.0759271713,556.3047450087,709.3439332978,1054.3103228430,2394.8620237050,0.9884332282,0.9505783386,0.8359621451,0.4658254469,0.1314405889,0.9905362776
