quantile,dispersion_bps,absolute_pairwise_difference_bps
0.5000000000,1.8848691408,1.8848626534
0.7500000000,4.3625127139,4.3620172815
0.9000000000,9.0589660818,9.0582970981
0.9500000000,15.6986620775,15.6971220959
0.9900000000,87.5375258954,87.3877880240
0.9990000000,446.8010469516,457.0106942912
